,label,text
0,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [girls are gonna rt this in hopes that their shitty boyfriends make changes for them ? ? ? #dumphim]
1,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [I remember those days ?]
2,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [ms . corona is just rude . i wo n't be able to listen to hallucinate by dua lipa in the club this summer without actually KILLING people and it 's all her fault]
3,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [ok i 'm gonna go watch maleficent hype me up i 'll b back]
4,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [THIS is the only good cop in this day and age .]
5,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [even a small clip like this , I can laugh out loud hahaha]"
6,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER @USER lmfaoooo ! i 'll never be a shirt off guy . #Humble]
7,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [PSPC 's Translation Bureau - we do that ! :thumbs_up:]
8,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [wait theyre gonna post mark and haechan oh my god]
9,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [#TX02 Truth hurts . Crenshaw is harming his constituents . Vote for Sima ( @USER ) instead in this November 's election . #Houston #Kingwood #Humble]
10,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [requested “ ellen degeneres ” by lil b four ( 4 ) times . did not get played once ( 1 ) . im not going to say that the dj should sleep with one ( 1 ) eye open tonight , because im not that type of guy . but it would n't be a bad idea . #notathreat #justasuggestion #humble #thankyoubasedgod]"
11,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [Sister : I really want to taste the lice spray ! \ n \ nShe 's really going to end up being a copy of me when she 's older -]
12,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER @USER @USER @USER Kalikesh ji very frankly speaking this man is totally theetless and only give speech . I am just surprised they are not doing nothing.We as a state not even try to use our capacity.when we become advance state.when our state will research about tackle this types of things .]
13,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [You 're my favorite person in the world Jilly ;) , can't wait for our adventures this summa :red_heart: :red_heart: love you endlessly #futuregodmother]"
14,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [I miss you :red_heart:]
15,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [It 's not a dead formation , it just requires a competent coach and players ( as with any system ) .]"
16,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER same here , , , i just can remember the comercials on the tv lol]"
17,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [been modernised , many still lack air conditioning and cooling units . Make]"
18,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I just went to my fridge and saw I was out and its a 50/50 if I wanna leave now and get some ha]
19,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER Depends really . I do n't really limit my taste to particular genres , I just listen to what I think sounds good]"
20,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [I took a huge snooze and it was the best part of my weekend so far .]
21,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [mood]
22,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [I read your first line and your last line popped into my head before I read it . :smiling_face_with_heart-eyes: :hugging_face: It 's been a long time coming .]
23,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [That solar eclipse got me gassy af ?]
24,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER @USER I 'd build orphanage campus style schools . Hire the best counselors , teachers and give abandoned , abused , neglected children an opportunity to have a brighter future .]"
25,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER Yeah I use to go all the time . I just do n't wanna go by myself]
26,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [Waaa steady @USER]
27,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [My stats in 2 games 17 tackles & 1 interception #HUMBLE]
28,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [Why 'd you only ever phone me when you 're high ?]
29,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [nice nice \ nbut when is chapter 2 coming out with the facility depths \ ni need more game entertainment !]
30,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER #humble]
31,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [meownnaise]
32,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [Keep me #humble, Lord . Keep me humble , Lord . . . Like Achilles , hubris #pride is my fatal flaw too . Anytime I feel like I 'm getting too #arrogant , I say that little mantra up there . Life aint about me ; it 's never about yourself . Life 's about your focus on others , God 's Church .]"
33,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [I can't breathe ? ? ?]
34,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER I 'm so happy that Cuphead is coming to switch ! ! ! However your release date would be much nicer a week earlier ! I have a 8 hour train Journey on the 11/04 which could have been put to good use #SadTimes Anyhow , I look forward to rebuying and replaying the game ! :D]"
35,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER but mostly i just mean like how both wizards sells the game and the pro tour , and how i feel im encouraged to interact with it]"
36,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [anyway ... LET'S GO RIBKA / ANA ! ! !]
37,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [Never Stop Learning ! ! Be #Humble Be a #student Be a #teacher Just keep reminding yourself that you #human You do n't know it All]
38,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER I 've received some decent hate from a few because of the content in one of my short stories on my blog . Albeit , the story is very dark , but there is a disclaimer before each part warning people of the sensitive topics within . My conclusion ? Some people just want to start a fight]"
39,1,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER Yes sir ! It 's an "" Are n't I impressive ? "" post . It 's also a response to everyone who says they have n't watched any of those things . I 'm so great I 've watched all of them . #humblebrag :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing:]"
40,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER @USER ... I just wish there was a way to show them what it means to me ... what they mean to me . @USER]
41,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [We all should learn some form of coding tbh . It will behoove you in the future when a bunch of jobs turn to automation .]
42,0,"Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [I love this hashtag , just saying . #NotDying4WallStreet]"
43,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [I 've never felt more attacked than this]
44,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [This was such and awesome experience ! Thanks @USER and Andrew Lang :double_exclamation_mark: Wha tremendous message and our guys had a blast !]
45,1,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER ok #brag]
46,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER paid for my new bottle of vodka & I Love Her with all my heart :red_heart:]
47,1,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [Look at that ! @USER is on Bloomberg ! Does this count as a #humblebrag since it 's a video I edited ? :beaming_face_with_smiling_eyes: #editing #duomedia #caredx #organtransplant #bloomberg #curastrategies @USER]
48,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [Ooof . Just missed another multi-millionaire by a hair 's breadth]
49,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [@USER I miss you puddin pop . You was on my mind for a couple days just thought I say Heyy cutie]
50,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [What a captain ! #humble #compassionate #leadership :clapping_hands: :clapping_hands: :clapping_hands:]
51,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [Next issue : equal pay for Barbara and Ken \ n \ n #barbie #genderfluid #genderneutral]
52,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [The son ? ?]
53,0,Does this tweet contain bragging? respond with '1' if yes or '0' if no. tweet: [I 'm feeling so good I 'm finna jump on 95 just to sit on it ? ? ? .]
